Title,Abstract,Document Type,Region / Country,HDP Tags,Thematic Tags,DAC Recommendation,Affiliations,Authors,Publication Year,Language,Link,Rating,Banner,PDF
A Mapping and Analysis of Tools and Guidance on the H-P Linkages in the HDP Nexus,"This paper was developed by IASC Result Group 4 with pro-bono support from Interpeace. It is an inventory of guidance and tools currently available to humanitarian actors, on peace building and conflict sensitive approach, as well as an analysis on the degree to which these meet the needs of practitioners in the field. The analysis highlighted some substantial gaps in guidance and tools available to staff, but there is also a wealth of methods and in order to better understand the linkages between the peace and the humanitarian pillars of the HDPN. The paper consists of two parts.

The first part presents the analysis by Interpeace on the relevance and usefulness of currently available guidance and tools, and how these may and should be complemented in order to enhance the understanding and operationalizing of the linkages between humanitarian and peace actions. The second part consists of the mapping of available guidance and tools that relate to the peace pillar of the nexus.",Policy Paper,,"Humanitarian,Peace","Peace & Security,Conflict Sensitivity,Coordination,Policy & Strategy","4. Programming: Prioritising prevention,6. Programming: Do no harm,9. Programming: Learning and evidence","IASC Results Group 4, Interpeace","IASC Results Group 4, Interpeace",2022,English,https://interagencystandingcommittee.org/sites/default/files/migrated/2022-03/Mapping%20and%20analysis%20of%20Tools%20and%20Guidance%20Peace%20RG4.pdf,,A Mapping and Analysis of Tools and Guidance on the H-P Linkages in the HDP Nexus.webp,A Mapping and Analysis of Tools and Guidance on the H-P Linkages in the HDP Nexus.pdf
A Peacebuilding Tool for a Conflict-Sensitive Approach to Development: A Pilot Initiative in Nepal,"This publication introduces the Peacebuilding Tool (PBT) — an analytical tool developed jointly by ADB, DFID, and the World Bank — and documents lessons from its pilot application in Nepal during 2010–2011. 

The PBT is designed to help project team leaders and social experts understand the local conflict context, identify risks to project implementation arising from social conflict, and formulate mitigation measures. It comprises structured questions covering the post-conflict environment, formal and informal decision-making structures, peacebuilding opportunities, and socioeconomic and geographic risk factors.

ADB and partners applied the PBT across 13 projects in 15 districts in Nepal. Key lessons include the need for ongoing analysis and flexibility as context changes, the importance of integrating findings into government systems, and the value of PBT training events for improving coordination among development partners. The publication is intended as a replicable model for other fragile and conflict-affected situations.",Report,Nepal,"Development,Peace","Peace & Security,Governance,Resilience","1. Coordination: Joint analysis,6. Programming: Do no harm,7. Programming: Align with risk environment,8. Programming: National and local capacities,9. Programming: Learning and evidence",Asian Development Bank (ADB),Asian Development Bank,2012,English,https://www.adb.org/sites/default/files/publication/29670/nepal-pbt.pdf,,A Peacebuilding Tool for a Conflict-Sensitive Approach to Development A Pilot Initiative in Nepal.webp,A Peacebuilding Tool for a Conflict-Sensitive Approach to Development A Pilot Initiative in Nepal.pdf
A review of Canadian CSO experiences in Humanitarian-Development-Peace Nexus programming in fragile and conflict-affected countries,"This report examines the experiences of Canadian CSOs in implementing the Humanitarian-Development-Peace Nexus (HDP) in fragile and conflict-affected countries. The study identifies opportunities and challenges in the triple nexus approach, aiming to inform Canadian policy discussions. Analysis included literature reviews, surveys, and interviews with CSO representatives and officials from Global Affairs Canada.

Key findings highlight the increased use of the triple nexus, with special attention to gender, localization, and conflict sensitivity. Challenges include financial constraints and the need for better coordination among CSOs, local actors, and policymakers.

The report also discusses Canadian humanitarian trends, with a rise in assistance volume but a decline in its share of Real ODA. While multilateral organizations dominate assistance distribution, Canadian CSOs play a crucial role. Recommendations include strengthening CSO capacities, advocating for the triple nexus approach within GAC, and enhancing evidence bases. Engagement with policy frameworks and improving local partnerships are emphasized as crucial steps forward.",Report,"Ethiopia,Democratic Republic of the Congo","Development,Humanitarian,Peace","Gender,Social Cohesion,Governance","7. Programming: Align with risk environment,8. Programming: National and local capacities,11. Financing: Predictable flexible multi-year","Acted Canada, CARE, CSO Nexus Working Group, Canadian Food Security Policy Group, Canadian foodgrains bank, Cooperation canada, MCC","Brian Tomlinson, Molly den Heyer",2024,English,https://aidwatchcanada.ca/wp-content/uploads/2024/10/Nexus-Review-Highlights-Sept-30.pdf,,A review of Canadian CSO experiences in Humanitarian-Development-Peace Nexus programming in fragile and conflict-affected countries.webp,A review of Canadian CSO experiences in Humanitarian-Development-Peace Nexus programming in fragile and conflict-affected countries.pdf
A review of the triple nexus approach in discourse and practice with a focus on Islamic Relief's triple nexus programme,"The report examines the triple nexus approach combining humanitarian, development, and peacebuilding efforts, using Islamic Relief's programme in fragile contexts as a focal point. It assesses current discourse, implementation practices, and learns from various organizations piloting triple nexus projects. Key challenges include defining the peace component, flexible financial systems, and engagement with national governments. It emphasizes that sustainable peace requires cooperation across aid sectors and warns against the politicization of humanitarian aid. 

Recommendations for Islamic Relief include clearer strategies aligning the nexus components with broader goals, embracing conflict sensitivity, investing in staff learning, and long-term collaboration with local entities. While acknowledging structural barriers, the report advocates for fundamental reforms to achieve lasting change and community resilience.",Report,Indonesia,"Development,Humanitarian,Peace","Gender,Protection,Disaster Risk Reduction,Economic Development,Livelihoods,Governance,Resilience","5. Programming: People at the centre,8. Programming: National and local capacities,11. Financing: Predictable flexible multi-year",Islamic Relief Worldwide,"Rodrigo Mena, Summer Brown",2021,English,https://islamic-relief.org/wp-content/uploads/2022/05/TripleNexusReport-Final.pdf,,A review of the triple nexus approach in discourse and practice with a focus on Islamic Relief's triple nexus programme.webp,A review of the triple nexus approach in discourse and practice with a focus on Islamic Relief's triple nexus programme.pdf
Access to Durable Solutions Among IDPs in Iraq: Six Years in Displacement,"Report examining access to durable solutions — voluntary return, local integration, and settlement elsewhere — among internally displaced persons (IDPs) in Iraq following the ISIL conflict. Based on large-scale survey data, it analyses barriers and enablers to durable solutions across multiple displacement contexts in Iraq, covering shelter, livelihoods, documentation, security, social cohesion and access to services. Provides foundational evidence on the protection and socioeconomic dimensions of displacement that humanitarian-development nexus programming in Iraq — including stabilisation and area-based approaches — has sought to address.",Report,Iraq,"Humanitarian,Development","Displacement & Migration,Resilience,Social Cohesion","5. Programming: People at the centre,8. Programming: National and local capacities","IOM, Institute for the Study of International Migration (ISIM), Center for Contemporary Arab Studies (CSAS)","IOM, ISIM, CSAS",2017,English,https://iraqrecovery.iom.int/durablesolutions/Resources/Publications/Yearly%20Reports/Access%20to%20Durable%20Solutions%20Among%20IDPs%20in%20Iraq%20six%20years%20in%20displacement%20-%2021042022.pdf,,Access to Durable Solutions Among IDPs in Iraq Six Years in Displacement.webp,Access to Durable Solutions Among IDPs in Iraq Six Years in Displacement.pdf
Across the Nexus: A Balancing Act for National NGOs in South Sudan,"This Global Policy article (January 2025), part of the 'Triple Nexus: In Context and Everyday Perspective' e-book series, presents findings from PhD research with 86 interviews of South Sudanese national NGO (NNGO) representatives on how they engage with the internationally-driven HDP nexus.

Three key findings: (1) the government's role as 'project partner' creates multi-ministry complexity; (2) international actors wield disproportionate power over which organisations receive funding; and (3) communities' needs rarely align with the H/D/P silos imposed by donors. The research was conducted over 2021-2022 and contributes unique local and national actor perspectives on the nexus — a voice systematically underrepresented in the literature.",Article,South Sudan,"Humanitarian,Development,Peace","Localisation,Coordination,Governance,Social Cohesion","5. Programming: People at the centre,8. Programming: National and local capacities,9. Programming: Learning and evidence",,,2025,English,https://www.globalpolicyjournal.com/blog/21/01/2025/across-nexus-balancing-act-national-ngos-south-sudan,,Across the Nexus A Balancing Act for National NGOs in South Sudan.webp,Across the Nexus A Balancing Act for National NGOs in South Sudan.pdf
Action Agenda on Internal Displacement of the UNSG Follow-Up to the Report of the UNSGs High-Level Panel on Internal Displacement,"The United Nations Secretary-General's Action Agenda on Internal Displacement addresses the growing crisis of internal displacement driven by conflict, climate change, and disasters.

The document outlines three core goals: finding durable solutions for IDPs, preventing future displacement crises, and providing effective protection and assistance. Sustainable solutions involve reintegration, local integration, and settlement in other regions, requiring national and local leadership and UN support. A comprehensive approach involving humanitarian, development, peacebuilding, human rights, and climate change efforts is emphasized.

The agenda calls for enhanced financing strategies, private sector engagement, and improved data for solutions. Prevention efforts focus on addressing the root causes of conflict, human rights violations, and climate-related risks. The agenda stresses the need for collaboration between all stakeholders, including governments, civil society, and international actors, to ensure effective protection of IDPs and host communities and to achieve lasting impacts.",Guide,Iraq,"Development,Humanitarian,Peace","Climate,Social Cohesion,Displacement & Migration","4. Programming: Prioritising prevention,8. Programming: National and local capacities,11. Financing: Predictable flexible multi-year",UN Secretary-General\'s High Level Panel on Internal Displacement,United Nations,2022,English,https://www.un.org/en/content/action-agenda-on-internal-displacement/assets/pdf/Action-Agenda-on-Internal-Displacement_EN.pdf,,Action Agenda on Internal Displacement of the UNSG Follow-Up to the Report of the UNSGs High-Level Panel on Internal Displacement.webp,Action Agenda on Internal Displacement of the UNSG Follow-Up to the Report of the UNSGs High-Level Panel on Internal Displacement.pdf
Adapting in Adversity: Climate Action in Fragile and Conflict-Affected Situations,"This Mercy Corps practitioner report (2023) examines the barriers and opportunities for climate adaptation programming in fragile and conflict-affected situations (FCS), drawing on surveys and interviews with Mercy Corps programme staff across Sub-Saharan Africa. It identifies the most significant constraints — including limited access to shock-responsive funding, governance challenges, and inflexible donor systems — while documenting innovative approaches country teams are using to overcome them. Country cases from Uganda, Nigeria, Ethiopia, Kyrgyzstan, and DRC illustrate how frontline practitioners are adapting climate programming to FCS realities.

The report argues that climate adaptation in fragile contexts is not only possible but urgently necessary, and that community-based natural resource management institutions and conflict-sensitive approaches are foundational to sustainable outcomes. Designed as a practitioner resource for those implementing at the climate-conflict-nexus interface.",Report,"Uganda,Nigeria,Ethiopia,Democratic Republic of the Congo","Humanitarian,Development,Peace","Climate,Resilience,Coordination,Localisation","6. Programming: Do no harm,7. Programming: Align with risk environment,9. Programming: Learning and evidence",Mercy Corps,Mercy Corps,2023,English,https://www.mercycorps.org/sites/default/files/2025-01/adapting-in-adversity-climate-action-in-conflict.pdf,,Adapting in Adversity Climate Action in Fragile and Conflict-Affected Situations.webp,Adapting in Adversity Climate Action in Fragile and Conflict-Affected Situations.pdf
Addressing Everyday Complexities of the Triple Nexus: Lessons from South Sudan and Ethiopia,"Chapter 2 of the Global Policy e-book on the triple nexus, this contribution by Wilson and Cochrane examines three key risks that emerge when the triple nexus moves from concept to practice in South Sudan and Ethiopia: (1) the nexus may strengthen donor control over local priorities; (2) it can lead to harm through poor coordination and risk transfer between organisations operating under different frameworks; and (3) it can increase operational inefficiency rather than reduce it.

Drawing on extensive field research, the authors call for strong 'guardrails' — including conflict-sensitive approaches, genuine local inclusion in decision-making, and clearer accountability mechanisms — to allow the triple nexus to live up to its promise. Essential reading for practitioners designing nexus programmes in fragile contexts.",Article,"South Sudan,Ethiopia","Humanitarian,Development,Peace","Coordination,Localisation,Conflict Sensitivity,Learning & Evidence","6. Programming: Do no harm,8. Programming: National and local capacities,9. Programming: Learning and evidence","University of Ottawa, HBKU Qatar","Alexandra Wilson, Logan Cochrane",2025,English,https://www.globalpolicyjournal.com/blog/06/01/2025/addressing-everyday-complexities-triple-nexus-lessons-south-sudan-and-ethiopia,,Addressing Everyday Complexities of the Triple Nexus Lessons from South Sudan and Ethiopia.webp,Addressing Everyday Complexities of the Triple Nexus Lessons from South Sudan and Ethiopia.pdf
Addressing The Humanitarian-Development Nexus In The Horn of Africa,"The report discusses the New Way of Working (NWoW) initiative aimed at bridging humanitarian and development efforts in protracted crises within the Horn of Africa, specifically targeting Somalia and Ethiopia. The NWoW seeks to enhance collaboration and coherence among these sectors, focusing on aligning short and long-term educational interventions to support recovery and development.

Despite mixed perceptions, there is a consensus on the need for improved financing models, leadership, and risk management. Education is stressed as a crucial sector requiring prioritization and resources to achieve sustainable development goals.

The report underscores the significance of multi-year planning and financing, joint analysis, and employing a multi-sectoral approach to cater to the diverse needs of affected children. It provides recommendations for better ownership of NWoW reforms, prioritization of education, and enhancing holistic programming for quality learning outcomes.",Report,"Ethiopia,Somalia","Development,Humanitarian","Education,Environment,Displacement & Migration,Governance,Resilience","5. Programming: People at the centre,4. Programming: Prioritising prevention,11. Financing: Predictable flexible multi-year",Save the Children,Save the Children,2018,English,https://resourcecentre.savethechildren.net/document/addressing-humanitarian-development-nexus-horn-africa,,Addressing The Humanitarian-Development Nexus In The Horn of Africa.webp,Addressing The Humanitarian-Development Nexus In The Horn of Africa.pdf
Advancing Emergency Operations in Sri Lanka through the Triple Nexus Framework,"Peer-reviewed journal article examining how the triple nexus framework can be applied to advance emergency operations in Sri Lanka following the country's economic collapse and political crisis. Applies supply chain management and operations research perspectives to nexus theory, exploring how integrated approaches across the humanitarian, development and peace pillars can improve the effectiveness and efficiency of emergency operations. One of very few nexus articles focused on South Asia outside Pakistan and Afghanistan, contributing both a geographic and methodological perspective that is underrepresented in the nexus literature.",Journal Article,Sri Lanka,"Humanitarian,Development,Peace","Coordination,Policy & Strategy,Learning & Evidence","1. Coordination: Joint analysis,9. Programming: Learning and evidence",Copenhagen Business School,Christina Plesner Volkdal,2024,English,https://trcjha.com/wp-content/uploads/2024/12/TRCJDHA_2024_0002.pdf,,Advancing Emergency Operations in Sri Lanka through the Triple Nexus Framework.webp,Advancing Emergency Operations in Sri Lanka through the Triple Nexus Framework.pdf
Advancing Nexus in the MENA Region - Breaking the Silos,"The report explores the operationalization of the Humanitarian, Development, and Peace (HDP) nexus approach in the Middle East and North Africa (MENA) region, focusing on countries like Iraq, Syria, Jordan, Lebanon, Palestine, Yemen, and Libya. It highlights the varying progress in integrating HDP nexus across these countries, noting challenges such as lack of clarity, inadequate coordination, and insufficient quality funding. While some strides have been made, particularly in Jordan and Palestine, structural challenges impede widespread implementation.

The report concludes with recommendations for enhancing leadership, inclusive planning, flexible multi-year funding, and better partnerships among local NGOs and other stakeholders to effectively operationalize the HDP nexus approach. Despite the set standards from the OECD\'s DAC recommendations, adherence and implementation vary significantly across countries, with more joint analysis, collaboration, and policy integration needed to achieve better humanitarian, development, and peace outcomes.",Report,Iraq,"Development,Humanitarian,Peace","Governance,Economic Development,Food Security & Nutrition,Protection,Displacement & Migration,Resilience","7. Programming: Align with risk environment,1. Coordination: Joint analysis,2. Coordination: Empowered leadership,11. Financing: Predictable flexible multi-year",ICVA,ICVA,2022,English,https://www.icvanetwork.org/topics/5532/news/10082141,,Advancing Nexus in the MENA Region - Breaking the Silos.webp,Advancing Nexus in the MENA Region - Breaking the Silos.pdf
Advancing Nexus in Yemen Research Report_2025,,Report,Yemen,"Humanitarian,Development,Peace",Learning & Evidence,2. Coordination: Empowered leadership,Abs Development Organisation for woman & Child,Dr. Aisha Thawab + Dr.Wafa Almadhaji,2025,English,https://yemenexus.org/wp-content/uploads/2025/05/Advancing-Nexus-in-Yemen-Research-Report_2025.pdf,,,Advancing-Nexus-in-Yemen-Research-Report_2025.pdf
Advancing Nexus in Yemen: Breaking the Silos - a follow-up to the ICVA findings ,,Report,Yemen,"Humanitarian,Development,Peace","Conflict Sensitivity,Economic Development,Learning & Evidence","1. Coordination: Joint analysis,2. Coordination: Empowered leadership,5. Programming: People at the centre,10. Financing: Develop evidence-based strategies,8. Programming: National and local capacities",head of abs development organization,Dr. Aisha Thawab,2024,English,https://yemenexus.org/wp-content/uploads/2025/05/Advancing-Nexus-in-Yemen-Research-Report_2025.pdf,,,Advancing-Nexus-in-Yemen-Research-Report_2025.pdf
